sent_id;token_index;surface;gold_tag;candidate_tags_raw;candidate_tags_unique;raw_candidate_count;unique_tag_count;raw_analysis_ambiguous;tag_ambiguous;gold_in_candidates
sent_0;0;+ужрадъес\n;STEM-PL;"[""STEM-PL""]";"[""STEM-PL""]";1;1;False;False;True
sent_1;0;2-тӥ;STEM-PROL;"[""STEM-PROL""]";"[""STEM-PROL""]";1;1;False;False;True
sent_1;1;инты;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_1;2;-;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_1;3;"""Кынкорт""";STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_1;4;команда;STEM;"[""STEM-ATTR"", ""STEM-FUT"", ""STEM-FUT"", ""STEM-PRS.3PL"", ""STEM-PRS.3PL""]";"[""STEM-ATTR"", ""STEM-FUT"", ""STEM-PRS.3PL""]";5;3;True;True;False
sent_3;0;Мон;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_3;1;дышемын;STEM-PTCP.PST-LOC;"[""STEM-PTCP.PST-LOC"", ""STEM-RES"", ""STEM-LOC""]";"[""STEM-PTCP.PST-LOC"", ""STEM-RES"", ""STEM-LOC""]";3;3;True;True;True
sent_3;2;ӧвӧл,;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_3;3;монэ;STEM-ACC;"[""STEM-ACC""]";"[""STEM-ACC""]";1;1;False;False;True
sent_3;4;гинэ;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_3;5;мед;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_3;6;кылзозы;STEM-FUT-3PL;"[""STEM-FUT-3PL""]";"[""STEM-FUT-3PL""]";1;1;False;False;True
sent_3;7;шуыса.;STEM-CVB;"[""STEM"", ""STEM-CVB""]";"[""STEM"", ""STEM-CVB""]";2;2;True;True;True
sent_4;0;Пинальесын;STEM;"[""STEM"", ""STEM-FUT-3SG""]";"[""STEM"", ""STEM-FUT-3SG""]";2;2;True;True;True
sent_4;1;луоз-а;STEM-FUT-3SG;"[""STEM""]";"[""STEM""]";1;1;False;False;False
sent_4;2;мыныны?\n;STEM;"[""STEM-INF""]";"[""STEM-INF""]";1;1;False;False;False
sent_5;0;Мон;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_5;1;али;STEM;"[""STEM"", ""STEM-PST"", ""STEM""]";"[""STEM"", ""STEM-PST""]";3;2;True;True;True
sent_5;2;Германиысь;STEM-EL;"[""STEM-EL""]";"[""STEM-EL""]";1;1;False;False;True
sent_5;3;Амберг;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_5;4;карын;STEM-INS/LOC;"[""STEM-INS/LOC""]";"[""STEM-INS/LOC""]";1;1;False;False;True
sent_5;5;улӥсько.;STEM-PRS.12;"[""STEM-PRS.12""]";"[""STEM-PRS.12""]";1;1;False;False;True
sent_6;0;(Григорий;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_6;1;Данилов;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_6;2;"""Кырӟамтэ";STEM-PTCP.NEG;"[""STEM-PTCP.NEG""]";"[""STEM-PTCP.NEG""]";1;1;False;False;True
sent_6;3;"кырӟан""";STEM-VN;"[""STEM-VN""]";"[""STEM-VN""]";1;1;False;False;True
sent_6;4;повесть)\n;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_7;0;Кино;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_7;1;со?!\n;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;0;Озьы;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;1;ик;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;2;удмуртъёс;STEM-PL;"[""STEM-PL""]";"[""STEM-PL""]";1;1;False;False;True
sent_8;3;пӧлын;STEM-LOC;"[""STEM-LOC""]";"[""STEM-LOC""]";1;1;False;False;True
sent_8;4;Петров;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;5;Э.С.,;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;6;Лебедев;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;7;М.В.,;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;8;Хохряков;STEM;"[""STEM-IMP.SG"", ""STEM-P.1PL"", ""STEM-P.1PL""]";"[""STEM-IMP.SG"", ""STEM-P.1PL""]";3;2;True;True;False
sent_8;9;А.Г.,;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;10;Т.;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;11;В.;STEM;"[""STEM-PROL-ADV"", ""STEM""]";"[""STEM-PROL-ADV"", ""STEM""]";2;2;True;True;True
sent_8;12;Ишматова;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;13;-;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;14;ваньмы;STEM-P.1PL;"[""STEM""]";"[""STEM""]";1;1;False;False;False
sent_8;15;"""Единая";STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;16;"Россия""";STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;17;партия;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_8;18;пыр;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_9;0;<USER>,;STEM-FUT-1PL;"[""STEM-FUT-1PL"", ""STEM-CAUS-FUT-1PL""]";"[""STEM-FUT-1PL"", ""STEM-CAUS-FUT-1PL""]";2;2;True;True;True
sent_9;1;пуктомы;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_10;0;таче;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_10;1;чебер;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
sent_10;2;кылбур\n;STEM;"[""STEM""]";"[""STEM""]";1;1;False;False;True
